06-12-23 14:12:58 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:13:12 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:13:25 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 14:13:38 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 14:13:51 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:14:04 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:14:18 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 14:14:31 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:14:44 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:14:57 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:15:10 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:15:23 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:15:37 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:15:50 - Voltage 1.2 - INFO   Current = 0.3994
06-12-23 14:16:03 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 14:16:16 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:16:29 - Voltage 1.2 - INFO   Current = 0.3981
06-12-23 14:16:43 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:16:56 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:17:09 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:17:22 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:17:35 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:17:49 - Voltage 1.2 - INFO   Current = 0.3981
06-12-23 14:18:02 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:18:15 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:18:28 - Voltage 1.2 - INFO   Current = 0.3983
06-12-23 14:18:41 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:18:55 - Voltage 1.2 - INFO   Current = 0.3994
06-12-23 14:19:08 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:19:21 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 14:19:34 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:19:47 - Voltage 1.2 - INFO   Current = 0.3982
06-12-23 14:20:01 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 14:20:14 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:20:27 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:20:40 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:20:53 - Voltage 1.2 - INFO   Current = 0.3993
